Code,Issuer,Type,Underlying,Strike,Maturity,Moneyless,Ratio,Last,%Change,Gearing,EffGearing,IV,Premium,Delta,Turnover,Outstanding,%Outstanding,Calllevel,Issued,AdjLast,Time
11756,JP,EU/CALL,0257,9.69,2020-12-09,-53.81,10,0.098,-2,6.42857,2.71449,73.4405,69.3651,0.422254,32450,50000,0.0833333,0,60000000,0.979999974370003,2019-08-22 15:00:00
11766,JP,EU/CALL,HSCE,12400,2019-12-30,-22.529,4000,0.013,0,194.617,16.2187,23.4201,23.0425,0.0833367,0,650000,0.325,0,200000000,52.0000010728836,2019-08-22 15:00:00
11776,JP,EU/CALL,1313,9.49,2019-12-31,-33.474,5,0.066,-8.333,21.5455,5.50784,61.067,38.1153,0.255638,7524,120000,0.24,0,50000000,0.329999998211861,2019-08-22 15:00:00
11779,BP,EU/CALL,0939,7.38,2019-09-03,-27.903,1,0.01,0,577,20.1069,71.6845,28.0763,0.0348474,0,6039000,15.0975,0,40000000,0.00999999977648258,2019-08-22 15:00:00
11795,BP,EU/CALL,0857,5.6,2019-10-03,-46.214,1,0.019,0,201.579,11.0667,69.6972,46.7102,0.0549002,0,5030000,12.575,0,40000000,0.0189999993890524,2019-08-22 15:00:00
11797,BP,EU/CALL,1113,70,2019-10-03,-28.676,10,0.019,0,286.316,16.1014,45.9658,29.0257,0.0562363,0,0,0,0,40000000,0.189999993890524,2019-08-22 15:00:00
11798,HT,EU/CALL,0388,280,2019-09-30,-11.288,100,0.01,0,251.6,26.0797,24.8965,11.6852,0.103656,0,10710000,10.71,0,100000000,0.999999977648258,2019-08-22 15:00:00
11799,HT,EU/PUT,0388,270,2019-09-30,7.313,100,0.228,8.057,11.0351,-7.9723,33.1409,1.74881,-0.72245,122280,16030000,16.03,0,100000000,22.8000000119209,2019-08-22 15:00:00
11801,UB,EU/CALL,2318,72.93,2019-09-23,19.459,100,0.173,0,5.2341,4.91788,47.3394,-0.353396,0.939584,0,92150000,15.3583,0,600000000,17.2999992966652,2019-08-22 15:00:00
11809,UB,EU/CALL,6886,11.13,2019-10-24,3.886,10,0.125,-8.759,9.264,5.69612,53.1332,6.90846,0.614867,5060,34000,0.0566667,0,60000000,1.25,2019-08-22 15:00:00
11830,UB,EU/CALL,1357,5.86,2020-06-26,-193,10,0.015,0,13.3333,2.87742,94.3108,200.5,0.215807,0,4255000,7.09167,0,60000000,0.149999996647239,2019-08-22 15:00:00
11841,VT,EU/CALL,0388,330,2019-09-04,-31.161,50,0.023,0,218.783,14.2993,89.3868,31.6176,0.0653585,0,145000,0.29,0,50000000,1.15000000223517,2019-08-22 15:00:00
11846,VT,EU/CALL,2318,89.88,2020-03-27,0.74,50,0.16,-2.439,11.3188,6.2219,28.3105,8.09498,0.549699,0,0,0,0,60000000,7.99999982118607,2019-08-22 15:00:00
11862,CS,EU/CALL,0268,11.18,2020-04-29,-46.335,10,0.077,-3.75,9.92208,3.47929,67.7016,56.4136,0.350662,60350,4540000,7.56667,0,60000000,0.769999995827675,2019-08-22 15:00:00
11870,CS,EU/PUT,2628,18.68,2019-09-30,3.204,5,0.198,12.5,18.2828,-11.3072,27.423,2.26519,-0.61846,260500,205000,0.41,0,50000000,0.989999994635582,2019-08-22 15:00:00
11876,CS,EU/CALL,2628,24.69,2019-11-22,-36.409,10,0.018,0,100.556,10.2186,44.234,37.4033,0.101621,0,1300000,1.08333,0,120000000,0.179999992251396,2019-08-22 15:00:00
11878,SG,EU/CALL,1288,4.23,2019-10-24,-41.472,1,0.011,0,271.818,13.03,46.9519,41.8395,0.0479365,0,52000,0.0742857,0,70000000,0.0109999999403954,2019-08-22 15:00:00
11880,SG,EU/CALL,0656,15.17,2019-09-09,-57.856,5,0.012,0,160.167,9.51334,120.433,58.4808,0.0593965,0,35000,0.0583333,0,60000000,0.0600000005215406,2019-08-22 15:00:00
11886,SG,EU/PUT,2318,84.33,2020-01-24,-6.869,50,0.063,5,28.746,-8.95693,24.2637,10.3479,-0.311588,128310,5962500,1.9875,0,300000000,3.15000005066395,2019-08-22 15:00:00
11888,CS,EU/CALL,1515,7.88,2019-10-31,-41.727,10,0.018,0,30.8889,6.11266,77.4003,44.964,0.197892,0,500000,1.25,0,40000000,0.179999992251396,2019-08-22 15:00:00
11889,CS,EU/CALL,2318,78.93,2020-06-22,12.833,100,0.158,0,5.73101,4.05322,32.9196,4.61623,0.707242,0,4400000,0.88,0,500000000,15.8000007271767,2019-08-22 15:00:00
11904,MB,EU/CALL,2208,8.498,2020-02-18,-0.212,9.569,0.173,0,5.12251,3.06337,69.8742,19.7339,0.598021,714034,388000,0.97,0,40000000,1.65543697493422,2019-08-22 15:00:00
11909,SG,EU/CALL,2822,15.2,2019-09-04,-3.967,5,0.011,0,265.818,46.3716,21.255,4.34337,0.174449,0,3605000,3.605,0,100000000,0.0549999997019768,2019-08-22 15:00:00
11913,MB,EU/CALL,1066,5.58,2020-02-18,22.5,10,0.242,-2.419,2.97521,2.28574,82.5637,11.1111,0.768263,0,800000,2,0,40000000,2.41999998688698,2019-08-22 15:00:00
11918,SG,EU/CALL,2822,15.9,2019-09-30,-8.755,5,0.017,-15,172,25.5582,23.5117,9.33652,0.148594,0,2300000,2.3,0,100000000,0.08500000461936,2019-08-22 15:00:00
11924,BI,EU/CALL,0388,339.08,2019-12-24,-34.769,100,0.02,0,125.8,11.2938,35.0205,35.5644,0.0897757,0,0,0,0,200000000,1.99999995529652,2019-08-22 15:00:00
11928,MB,EU/PUT,1336,31.88,2019-10-03,-8.522,10,0.071,9.231,49.0845,-11.5975,40.2814,10.5595,-0.236277,19317,101000,0.288571,0,35000000,0.710000023245811,2019-08-22 15:00:00
11938,MB,EU/CALL,3908,24.08,2019-12-17,-66.99,10,0.02,0,72.1,6.98358,60.8965,68.3773,0.0968596,0,320000,0.8,0,40000000,0.199999995529652,2019-08-22 15:00:00
11941,MB,EU/CALL,1515,8.18,2019-12-20,-47.122,10,0.032,0,17.375,4.55548,77.465,52.8777,0.262186,21240,10000,0.025,0,40000000,0.320000015199184,2019-08-22 15:00:00
11943,MB,EU/CALL,1398,7.48,2020-07-03,-52.033,1,0.028,0,175.714,9.85571,30.0431,52.6016,0.0560894,0,2080000,5.2,0,40000000,0.0280000008642673,2019-08-22 15:00:00
11946,UB,EU/CALL,2318,81.88,2019-10-21,9.575,10,0.94,1.075,9.63298,7.64068,30.3368,0.806184,0.793179,18800,665000,0.665,0,100000000,9.39999997615814,2019-08-22 15:00:00
11948,UB,EU/CALL,2318,87.88,2020-03-23,2.949,10,0.88,0,10.2898,6.06823,27.9871,6.76974,0.589734,0,200000,0.2,0,100000000,8.79999995231628,2019-08-22 15:00:00
11957,MB,EU/CALL,0291,33.88,2019-12-03,21.665,10,1.04,0.971,4.15865,3.49408,52.807,2.3815,0.840196,0,0,0,0,26500000,10.3999996185303,2019-08-22 15:00:00
11961,BI,EU/CALL,3323,7.89,2019-11-22,-14.348,10,0.037,8.824,18.6486,6.55078,51.4377,19.7101,0.351274,0,1100000,1.57143,0,70000000,0.370000004768372,2019-08-22 15:00:00
